0,24911,24912,24908,24910,24908
1,24464,24464,24464,24464,24463
2,25148,25149,25149,25149,25148
3,24537,24537,24537,24537,24537
4,24503,24503,24503,24503,24512
5,25176,25179,25179,25179,25181
6,24452,24453,24452,24451,24451
7,24411,24412,24415,24415,24415
8,24587,24587,24587,24587,24587
9,24476,24477,24478,24478,24477
10,25136,25135,25131,25133,25135
11,25184,25179,25176,25177,25178
12,25195,25193,25193,25195,25194
13,24491,24493,24492,24494,24493
14,24407,24407,24407,24407,24407
15,24416,24448,24458,24458,24458
16,25130,25130,25130,25130,25130
17,25045,25045,25045,25045,25045
18,25241,25237,25237,25235,25234
19,24739,24739,24739,24727,24727
20,24476,24476,24476,24476,24476
21,25194,25194,25194,25181,25181
22,25077,25077,25077,25092,25111
23,25144,25144,25144,25153,25153
24,24543,24542,24542,24543,24544
25,24973,24973,24973,24973,24973
26,24438,24438,24438,24435,24432
27,25143,25143,25143,25143,25143
28,24412,24412,24412,24412,24412
29,24950,24950,24950,24965,24970
30,24973,24973,24973,24973,24973
31,24495,24495,24495,24495,24495
32,25248,25248,25248,25248,25248
33,24544,24544,24544,24544,24545
34,25129,25131,25133,25133,25133
35,24714,24721,24729,24730,24731
36,25194,25194,25194,25194,25194
37,25205,25207,25207,25207,25207
38,25215,25217,25216,25217,25218
39,25153,25143,25139,25134,25130
40,24404,24404,24404,24404,24403
41,24509,24509,24507,24507,24505
42,25158,25157,25160,25161,25163
43,25248,25244,25244,25244,25242
44,24432,24432,24432,24432,24432
45,24886,24897,24895,24896,24895
46,24406,24406,24406,24406,24406
47,24893,24891,24893,24897,24899
48,25200,25199,25200,25200,25200
49,24419,24423,24423,24423,24424
50,24536,24536,24536,24536,24534
51,25225,25225,25215,25216,25216
52,25008,25008,25000,24997,24993
53,25234,25233,25226,25224,25223
54,24408,24408,24408,24408,24408
55,25199,25199,25187,25187,25187
56,24402,24402,24402,24402,24402
57,24961,24959,24959,24955,24956
58,25186,25172,25172,25172,25172
59,25241,25242,25242,25242,25242
60,24561,24561,24513,24513,24577
61,25211,25211,25211,25211,25217
62,25208,25207,25208,25209,25212
63,25117,25114,25119,25114,25113
64,24615,24615,24615,24615,24615
65,24406,24407,24407,24409,24409
66,24538,24538,24538,24538,24567
67,25203,25179,25173,25177,25177
68,24922,24925,24930,24932,24934
69,24529,24529,24528,24527,24527
70,25213,25213,25207,25207,25207
71,24428,24428,24428,24428,24428
72,24745,24731,24731,24744,24769
73,24472,24472,24474,24476,24476
74,25127,25127,25127,25127,25141
75,25114,25108,25108,25109,25113
76,24432,24432,24432,24432,24432
77,25164,25164,25164,25175,25175
78,24586,24586,24586,24609,24609
79,24913,24913,24915,24917,24916
80,24430,24430,24430,24430,24430
81,25183,25172,25172,25183,25172
82,24433,24433,24433,24433,24433
83,24416,24416,24416,24416,24416
84,24501,24502,24503,24503,24505
85,24404,24404,24404,24404,24405
86,25217,25211,25211,25211,25211
87,24423,24423,24423,24420,24420
88,24576,24582,24584,24591,24594
89,24407,24406,24406,24406,24406
90,25129,25129,25129,25129,25129
91,25110,25112,25111,25115,25120
92,24509,24512,24515,24516,24518
93,24880,24882,24886,24888,24889
94,24398,24398,24398,24398,24398
95,25252,25251,25251,25251,25251
96,25071,25071,25071,25089,25100
97,24405,24405,24405,24405,24406
98,24433,24433,24433,24433,24433
99,24437,24437,24437,24436,24436
100,24986,24993,24995,24996,25001
101,24430,24430,24430,24430,24430
102,25216,25216,25216,25212,25212
103,24401,24402,24402,24402,24402
104,24490,24488,24488,24486,24485
105,24400,24402,24403,24403,24403
106,24407,24406,24406,24406,24405
107,25218,25218,25212,25212,25212
108,25129,25129,25129,25129,25129
109,24536,24537,24536,24537,24536
110,24406,24416,24416,24416,24416
111,24418,24418,24418,24418,24418
112,24851,24849,24849,24851,24856
113,24683,24691,24692,24694,24699
114,25127,25127,25096,25096,25096
115,24947,24934,24960,24934,24934
116,24560,24582,24561,24561,24561
117,24492,24495,24496,24497,24502
118,24420,24420,24420,24420,24416
119,25190,25175,25171,25171,25171
120,24896,24891,24902,24900,24900
121,25033,25033,25033,25033,25033
122,24463,24464,24464,24464,24464
123,24792,24792,24792,24792,24792
124,24869,24869,24869,24869,24869
125,24444,24444,24435,24444,24454
126,24449,24449,24449,24449,24449
127,24408,24408,24408,24408,24408
128,24406,24406,24406,24406,24406
129,25102,25102,25102,25102,25102
130,25176,25176,25176,25176,25163
131,24421,24421,24421,24419,24419
132,25129,25129,25129,25129,25129
133,24888,24887,24887,24894,24892
134,25183,25183,25183,25183,25183
135,25187,25195,25195,25195,25182
136,25050,25059,25062,25067,25070
137,24482,24478,24476,24475,24472
138,25235,25233,25233,25231,25230
139,24535,24535,24533,24534,24535
140,25194,25194,25194,25194,25194
141,24520,24520,24520,24520,24520
142,24414,24414,24414,24413,24413
143,25182,25171,25152,25147,25152
144,24528,24525,24526,24525,24522
145,25201,25200,25201,25200,25200
