0,28582,28585,28587,28587,28588
1,28575,28575,28575,28577,28577
2,29223,29223,29223,29223,29223
3,28565,28565,28565,28565,28565
4,29216,29209,29204,29203,29197
5,28545,28545,28545,28545,28545
6,28606,28606,28606,28606,28606
7,28545,28546,28546,28546,28546
8,28725,28722,28716,28711,28706
9,28690,28690,28690,28690,28697
10,28894,28894,28878,28878,28841
11,28865,28865,28865,28887,28887
12,28606,28606,28606,28606,28606
13,28559,28559,28561,28561,28563
14,28870,28874,28876,28873,28872
15,28545,28545,28545,28545,28545
16,28821,28821,28844,28844,28853
17,28617,28617,28614,28614,28614
18,28551,28553,28553,28553,28551
19,28588,28586,28584,28584,28582
20,29136,29130,29124,29121,29112
21,28559,28559,28559,28559,28560
22,28564,28562,28562,28562,28566
23,28691,28683,28683,28683,28653
24,29059,29059,29059,29059,29055
25,28817,28826,28817,28808,28808
26,28618,28618,28618,28618,28629
27,28552,28552,28552,28551,28551
28,28635,28635,28635,28635,28635
29,28793,28785,28784,28783,28782
30,28553,28556,28556,28556,28557
31,29108,29106,29105,29106,29109
32,29268,29268,29268,29268,29268
33,28964,28964,28964,28973,28981
34,29007,29007,29007,29007,29007
35,29249,29249,29249,29249,29252
36,28566,28566,28566,28566,28567
37,28707,28707,28707,28707,28707
38,28997,28997,28997,28997,28997
39,29229,29216,29216,29216,29216
40,28550,28550,28550,28550,28550
41,28547,28547,28546,28546,28546
42,28668,28668,28668,28668,28668
43,28823,28819,28815,28815,28795
44,28879,28879,28879,28870,28861
45,28624,28623,28623,28623,28621
46,29072,29092,29092,29081,29081
47,29071,29071,29090,29090,29079
48,29267,29267,29267,29267,29267
49,28554,28555,28555,28554,28554
50,29059,29062,29069,29072,29075
51,29268,29268,29267,29268,29267
52,28555,28557,28557,28557,28557
53,28824,28824,28828,28837,28828
54,29019,29023,29035,29035,29035
55,29212,29214,29214,29214,29214
56,29206,29206,29206,29206,29217
57,28777,28769,28769,28769,28755
58,28648,28648,28648,28655,28664
59,28970,28970,28970,28970,29003
60,28602,28602,28602,28613,28615
61,29151,29144,29144,29144,29144
62,28811,28814,28816,28823,28826
63,28562,28561,28561,28561,28560
64,28554,28554,28554,28558,28558
65,28714,28726,28729,28731,28732
66,28997,28997,28997,28997,28997
67,29052,29052,29052,29052,29052
68,28823,28836,28836,28836,28836
69,29256,29252,29247,29245,29245
70,28831,28835,28839,28841,28846
71,29235,29235,29238,29238,29238
72,29214,29214,29216,29216,29214
73,29266,29266,29265,29265,29265
74,28892,28896,28896,28897,28897
75,28556,28556,28560,28559,28559
76,29245,29244,29245,29246,29247
77,28875,28879,28881,28891,28894
78,28833,28828,28828,28842,28842
79,28969,28969,28969,29002,28969
80,28575,28575,28575,28577,28577
81,28836,28836,28836,28836,28853
82,28562,28562,28562,28562,28562
83,29088,29087,29088,29082,29078
84,28545,28545,28545,28545,28545
85,28545,28545,28545,28545,28545
86,29188,29191,29193,29203,29208
87,28545,28545,28545,28545,28545
88,28575,28575,28574,28572,28571
89,29000,29001,29001,29000,29000
90,28606,28606,28606,28606,28606
91,29264,29266,29264,29264,29264
92,29239,29239,29239,29239,29239
93,29242,29242,29242,29246,29246
94,29079,29080,29079,29077,29075
95,28817,28817,28818,28820,28823
96,28795,28797,28802,28802,28807
97,29148,29148,29162,29162,29162
98,29252,29228,29228,29226,29222
99,28992,29006,29006,29006,29006
100,28934,28934,28943,28952,28952
101,29203,29203,29203,29215,29215
102,28558,28558,28558,28558,28558
103,28556,28557,28557,28558,28558
104,28606,28606,28601,28601,28601
105,29268,29268,29267,29267,29267
106,28564,28564,28564,28564,28564
107,28851,28851,28851,28860,28864
108,28643,28643,28643,28643,28643
109,28921,28921,28921,28921,28891
110,29077,29059,29048,29047,29047
111,28606,28606,28606,28606,28606
112,29019,29020,29020,29020,29020
113,28570,28571,28573,28573,28574
114,29260,29260,29260,29261,29263
115,28697,28697,28697,28697,28697
116,28891,28900,28900,28900,28900
117,29222,29222,29223,29223,29222
118,29258,29256,29254,29259,29256
119,28564,28566,28566,28562,28562
120,28549,28549,28549,28549,28549
121,28624,28624,28624,28624,28629
122,28553,28553,28555,28555,28555
123,28938,28936,28934,28931,28930
124,28640,28640,28640,28640,28640
125,29170,29134,29134,29119,29113
126,29226,29226,29206,29202,29200
127,28549,28548,28548,28548,28548
128,29258,29257,29256,29256,29256
129,28565,28565,28566,28566,28566
130,28555,28555,28555,28555,28554
131,28555,28555,28554,28554,28554
132,29240,29242,29242,29242,29242
133,28840,28839,28839,28839,28839
134,28737,28733,28733,28719,28719
135,29059,29059,29059,29059,29077
136,29246,29239,29236,29230,29228
137,29269,29269,29269,29269,29269
138,29088,29090,29095,29098,29101
139,28567,28567,28567,28568,28569
140,28695,28695,28695,28695,28695
141,28559,28562,28562,28562,28562
142,28985,28963,28971,28975,28935
143,28557,28557,28557,28557,28557
144,28777,28777,28777,28777,28797
145,28873,28876,28881,28883,28885
