0,10431,10432,10430,10430,10429
1,10384,10384,10385,10385,10385
2,10457,10456,10451,10446,10455
3,10329,10329,10329,10329,10329
4,10810,10810,10810,10810,10810
5,10462,10463,10464,10464,10462
6,10916,10913,10913,10909,10909
7,10341,10341,10341,10340,10341
8,10917,10917,10917,10917,10917
9,10890,10890,10890,10890,10890
10,10420,10420,10419,10421,10421
11,10472,10476,10474,10470,10469
12,10458,10459,10459,10459,10459
13,10428,10429,10428,10428,10428
14,10855,10855,10855,10855,10855
15,10855,10855,10855,10855,10855
16,10904,10904,10904,10904,10917
17,10499,10499,10499,10499,10499
18,10422,10422,10420,10420,10417
19,10802,10802,10802,10802,10802
20,10855,10855,10855,10855,10855
21,10499,10499,10499,10499,10499
22,10384,10384,10384,10405,10405
23,10335,10335,10335,10335,10335
24,10338,10339,10338,10337,10337
25,10831,10831,10831,10831,10831
26,10545,10546,10545,10543,10544
27,10427,10427,10427,10427,10427
28,10732,10732,10753,10753,10705
29,10499,10499,10499,10499,10499
30,10499,10499,10499,10499,10499
31,10811,10802,10810,10810,10810
32,10499,10499,10499,10499,10499
33,10337,10336,10336,10336,10335
34,10421,10423,10423,10421,10421
35,10446,10448,10449,10447,10451
36,10499,10499,10499,10499,10499
37,10831,10831,10831,10831,10831
38,10414,10413,10414,10405,10412
39,10466,10465,10461,10461,10465
40,10756,10754,10753,10758,10760
41,10670,10668,10669,10669,10666
42,10437,10438,10436,10436,10437
43,10499,10499,10499,10499,10499
44,10874,10874,10874,10874,10874
45,10435,10434,10432,10434,10434
46,10658,10658,10658,10658,10658
47,10441,10444,10443,10442,10441
48,10426,10426,10426,10428,10428
49,10708,10677,10675,10665,10656
50,10713,10713,10712,10712,10710
51,10335,10360,10360,10360,10360
52,10365,10372,10370,10371,10373
53,10576,10576,10576,10578,10579
54,10855,10855,10855,10855,10855
55,10499,10499,10499,10499,10499
56,10601,10603,10602,10600,10603
57,10433,10432,10432,10434,10435
58,10806,10806,10806,10806,10806
59,10499,10499,10499,10499,10499
60,10835,10835,10835,10842,10842
61,10499,10499,10499,10499,10499
62,10413,10414,10405,10412,10416
63,10428,10427,10428,10427,10425
64,10868,10868,10868,10868,10868
65,10346,10346,10345,10345,10345
66,10869,10869,10878,10878,10878
67,10810,10810,10810,10810,10802
68,10346,10346,10347,10347,10347
69,10329,10329,10329,10329,10329
70,10499,10499,10499,10499,10499
71,10342,10342,10342,10342,10343
72,10831,10831,10831,10831,10831
73,10426,10426,10426,10427,10427
74,10405,10405,10405,10405,10427
75,10432,10431,10429,10430,10431
76,10887,10887,10887,10887,10880
77,10352,10352,10352,10352,10352
78,10802,10802,10802,10802,10802
79,10384,10384,10382,10382,10381
80,10855,10855,10855,10855,10855
81,10499,10462,10462,10462,10462
82,10867,10867,10867,10867,10867
83,10757,10779,10779,10732,10732
84,10348,10348,10349,10350,10350
85,10598,10601,10601,10597,10599
86,10499,10499,10499,10499,10499
87,10855,10805,10805,10805,10805
88,10336,10335,10335,10335,10336
89,10589,10588,10588,10584,10583
90,10335,10335,10335,10335,10335
91,10460,10461,10460,10462,10461
92,10334,10334,10334,10335,10335
93,10443,10442,10441,10440,10441
94,10609,10608,10605,10605,10605
95,10419,10418,10418,10423,10424
96,10408,10408,10408,10408,10387
97,10337,10337,10337,10337,10337
98,10438,10436,10437,10438,10436
99,10342,10342,10343,10342,10342
100,10448,10450,10450,10449,10449
101,10436,10436,10435,10435,10436
102,10499,10499,10499,10499,10499
103,10539,10536,10536,10538,10537
104,10656,10655,10654,10655,10653
105,10347,10347,10347,10348,10348
106,10630,10627,10627,10626,10626
107,10335,10335,10335,10335,10335
108,10462,10462,10432,10432,10432
109,10709,10710,10711,10710,10709
110,10855,10855,10855,10855,10855
111,10494,10493,10493,10493,10492
112,10401,10401,10401,10401,10401
113,10443,10445,10443,10446,10445
114,10499,10499,10499,10499,10499
115,10831,10831,10831,10831,10831
116,10782,10804,10804,10782,10782
117,10334,10334,10334,10334,10334
118,10805,10805,10757,10757,10757
119,10335,10335,10335,10335,10335
120,10436,10436,10436,10434,10435
121,10831,10831,10831,10831,10831
122,10384,10382,10382,10382,10382
123,10917,10917,10917,10917,10917
124,10917,10917,10917,10917,10917
125,10764,10764,10764,10764,10774
126,10855,10855,10855,10855,10855
127,10855,10855,10855,10855,10855
128,10694,10694,10726,10726,10726
129,10602,10602,10602,10646,10646
130,10499,10499,10499,10499,10499
131,10347,10346,10346,10347,10347
132,10499,10499,10499,10499,10499
133,10399,10399,10398,10398,10398
134,10335,10335,10335,10335,10335
135,10917,10917,10917,10917,10917
136,10351,10351,10351,10351,10351
137,10622,10633,10634,10637,10642
138,10445,10447,10447,10446,10445
139,10723,10723,10720,10721,10720
140,10335,10335,10335,10335,10335
141,10810,10810,10810,10810,10810
142,10347,10347,10347,10346,10346
143,10810,10810,10810,10810,10810
144,10681,10678,10678,10677,10677
145,10436,10439,10439,10439,10437
