2015-03-12,10646,9185,27004,96072,26623,16810,31496,3215,28995,19713,13418
2015-03-13,10618,9194,27006,96093,26565,16756,31496,3215,28986,20315,13524
2015-03-14,10600,9225,26996,96093,26602,16697,31496,3215,29319,20981,13561
2015-03-15,10576,9254,27031,96093,26565,16651,31496,3215,29509,21806,13552
2015-03-16,10464,9346,27082,96276,26471,16550,31502,3208,30040,23355,13663
2015-03-17,10455,9398,27096,96255,26129,16464,31496,3215,29901,24000,13726
2015-03-18,10410,9414,27117,96276,26284,16436,31490,3208,29933,24528,13770
2015-03-19,10403,9469,27107,96350,26307,16362,31490,3208,29732,25308,13906
2015-03-20,10401,9488,27096,96569,26389,16253,31496,3215,29284,25350,13924
2015-03-21,10401,9492,27096,96542,26417,16230,31496,3215,29426,25526,13924
2015-03-22,10378,9512,27106,96542,26230,16244,31496,3215,28816,25605,13799
2015-03-23,10300,9512,27106,96542,26230,16244,31496,3215,28816,25605,13799
2015-03-24,10322,9611,27105,96361,25838,15929,31555,3223,26182,26203,13789
2015-03-25,10313,9637,27055,96315,25755,15886,31555,3225,25450,26462,13877
2015-03-26,10266,9647,27051,96324,25734,15805,31555,3225,25019,26838,13790
2015-03-27,10226,9644,27001,96352,25632,15736,31555,3225,24644,26718,13813
2015-03-28,10185,9642,27001,96352,25697,15671,31585,3225,24427,26644,13832
2015-03-29,10181,9641,27001,96333,25716,15653,31585,3225,24505,26551,13804
2015-03-30,10073,9649,27003,96417,25298,15373,31614,3220,23505,26401,13829
2015-03-31,10067,9679,27003,96417,25203,15355,31614,3220,23093,26299,13750
2015-04-01,10066,9688,26998,96324,25143,15410,31614,3206,22889,25892,13718
2015-04-02,9965,9676,26919,96208,25090,15466,31716,3206,22615,25646,13699
2015-04-03,9953,9682,26943,96220,25019,15489,31775,3194,22420,25760,13729
2015-04-04,9928,9685,26938,96182,25051,15462,31808,3199,22209,25741,13696
2015-04-05,9913,9674,26919,96356,25019,15439,31775,3206,21999,25683,13708
2015-04-06,9863,9680,26836,96102,25236,15494,31922,3206,21273,25569,13771
2015-04-07,9881,9669,26826,96102,25153,15461,31755,3197,20921,25449,13789
2015-04-08,9880,9679,26826,96074,25088,15499,31755,3197,20810,25458,13812
2015-04-09,9828,9718,26819,96164,25262,15610,31755,3189,19594,25329,13796
2015-04-10,9832,9752,26821,96106,25264,15757,31755,3197,18779,25182,13789
2015-04-11,9803,9778,26821,96116,25292,15868,31755,3197,18404,25215,13826
2015-04-12,9799,9781,26821,96069,25352,15965,31755,3197,18348,25261,13951
2015-04-13,9798,9969,26821,96000,25764,16407,31755,3206,17875,25343,14160
2015-04-14,9793,10086,26821,96046,25806,16572,31755,3206,17583,25407,14355
2015-04-15,9774,10106,26831,96056,25838,16579,31755,3206,17472,25403,14630
2015-04-16,9777,10221,26829,96103,25995,16736,31788,3208,16907,24913,15065
2015-04-17,9774,10239,26831,96083,26023,16807,31755,3206,16898,25020,15310
2015-04-18,9774,10275,26841,96000,26037,16807,31755,3197,16852,25053,15468
2015-04-19,9774,10343,26841,95995,25958,16909,31755,3197,16921,24914,15597
2015-04-20,9768,10423,26836,95856,25894,17041,31755,3201,16788,24514,16142
2015-04-21,9770,10429,26896,95856,25889,17058,31785,3201,16709,24394,16447
2015-04-22,9772,10410,26906,95861,25875,17209,31785,3201,16691,24287,16475
2015-04-23,9772,10459,26936,95954,25852,17445,31785,3197,16667,24181,16523
2015-04-24,9761,10469,26951,95963,25822,17517,31764,3199,16757,24082,16486
2015-04-25,9748,10507,26926,96023,25806,17568,31785,3197,17051,24016,16514
2015-04-26,9748,10511,26946,96046,25810,17623,31785,3197,17403,23998,16496
2015-04-27,9769,10571,26911,96102,25880,17781,31785,3197,18412,23738,16802
2015-04-28,9769,10593,26911,96037,25861,17836,31785,3197,18167,23713,16770
2015-04-29,9763,10581,26931,95898,25884,17813,31785,3192,18375,23782,16740
2015-04-30,9763,10638,26930,96151,26005,17923,31852,3196,18335,23774,16674
2015-05-01,9763,10604,26936,96102,26051,17947,31785,3197,18458,23875,18065
2015-05-02,9763,10617,26936,96157,26106,17933,31785,3197,18537,23861,16671
2015-05-03,9765,10627,26936,96185,26106,17915,31785,3204,18597,23829,16676
2015-05-04,9767,10642,26916,96037,26213,17996,31785,3204,18866,24106,16644
2015-05-05,9784,10645,26846,96037,26215,17992,31785,3211,19411,24117,16514
2015-05-06,9781,10634,26878,96009,26231,17990,31786,3204,19542,24213,16574
2015-05-07,9772,10644,26893,95991,26255,17976,31786,3204,19773,24486,16722
2015-05-08,9772,10661,26903,96009,26306,18013,31786,3204,19731,24440,16593
2015-05-09,9774,10656,26903,96065,26306,18023,31786,3204,19898,24333,16528
2015-05-10,9769,10655,26903,96028,26435,18014,31786,3204,20065,24435,16463
2015-05-11,9776,10666,26862,96014,26623,18022,32071,3204,20094,24765,16386
2015-05-12,9781,10661,26832,96014,26698,18033,32071,3204,19956,25015,16437
2015-05-13,9777,10665,26827,96250,26915,18045,32071,3204,19386,24950,16431
2015-05-14,9802,10670,26827,96171,26887,18033,32071,3204,19391,25205,16348
2015-05-15,9809,10663,26817,96176,27054,17965,32070,3209,18803,25464,16445
2015-05-16,9809,10663,26817,96176,27156,17956,32070,3209,18618,25464,16445
2015-05-17,9824,10675,26845,96206,27227,17957,32070,3197,18273,25702,16440
2015-05-18,9791,10705,26858,96144,27315,18016,32070,3209,16833,26162,16413
2015-05-19,9797,10741,26873,96144,27361,18041,32070,3209,16963,26440,16460
2015-05-20,9799,10780,26907,96193,27392,18071,32078,3173,17028,26712,16412
2015-05-21,9789,10860,26873,96185,27361,18159,32078,3188,16750,27505,16497
2015-05-22,9791,10959,26903,96102,27583,18174,32078,3188,16769,28236,16552
2015-05-23,9791,10997,26903,96130,27648,18271,32078,3188,16801,28954,16691
2015-05-24,9791,11046,26913,96120,27699,18281,32078,3188,16977,29227,16682
2015-05-25,9804,11230,26898,96241,27551,18540,32078,3189,16980,30838,16824
2015-05-26,9809,11322,26903,96250,27491,18610,32078,3191,16864,31139,16787
2015-05-27,9815,11407,26903,96269,27458,18670,32054,3191,16660,31431,16750
2015-05-28,9790,11465,26923,96282,27350,18758,32054,3191,16700,31662,16812
2015-05-29,9790,11490,26923,96282,27364,18894,32054,3191,16890,31912,16719
2015-05-30,9813,11517,26923,96282,27392,19003,32054,3191,17001,31986,16710
2015-05-31,9827,11570,26921,96614,27422,19104,32169,3197,16901,31805,16654
2015-06-01,9840,11563,26913,96523,27530,19221,32073,3189,17097,31134,16719
2015-06-02,9845,11575,26913,96560,27669,19207,32054,3189,17171,30824,16774
2015-06-03,9851,11598,26898,96931,27789,19302,32073,3189,16963,30472,16853
2015-06-04,9875,11601,26868,96931,28144,19470,32073,3189,16931,30056,16859
2015-06-05,9875,11605,26868,96847,28202,19491,32073,3189,16810,29449,16841
2015-06-06,9899,11611,26907,96893,28428,19547,32074,3182,17117,28930,16951
2015-06-07,9899,11614,26907,96864,28650,19519,32080,3182,17079,28860,16950
2015-06-08,9912,11668,26878,96810,29255,19656,32092,3185,17130,27954,16949
2015-06-09,9905,11685,26833,96836,29467,19648,32038,3177,17250,27645,16998
2015-06-10,9907,11709,26846,96841,29612,19648,32038,3177,17175,27131,16960
2015-06-11,9907,11725,26846,96925,29523,19675,32038,3177,17262,26883,17063
2015-06-12,9929,11712,26862,96879,29464,19764,32038,3182,16935,26481,17118
2015-06-13,9938,11713,26852,96788,29495,19783,32057,3288,16885,26313,17122
2015-06-14,9933,11705,26859,96838,29430,19842,32057,3266,16981,26171,17163
2015-06-15,9943,11679,26821,97065,29388,19995,32038,3257,17089,24570,17150
2015-06-16,9963,11739,26892,96991,29836,20099,32038,3257,17084,23738,17037
2015-06-17,9953,11744,26872,97271,30150,20259,32038,3266,16682,23607,17014
2015-06-18,9959,11776,26872,97327,30173,20301,32038,3261,16692,23444,17079
2015-06-19,9994,11769,26937,97131,30056,20332,32056,3233,16869,23093,16962
2015-06-20,9991,11764,26973,97131,29673,20305,32257,3233,16785,23079,16971
2015-06-21,9991,11766,26968,97056,29514,20270,32294,3233,16687,22897,16971
2015-06-22,9983,11749,26988,97215,28864,20117,32068,3233,16762,22388,16971
2015-06-23,9982,11782,27008,97336,28631,20019,32068,3233,16603,22238,16977
2015-06-24,9978,11776,27033,97479,28460,19978,32068,3233,16112,21617,16880
2015-06-25,9987,11761,27033,97444,28380,20091,32013,3240,15843,21343,16528
2015-06-26,9989,11781,27038,97435,28440,20144,32013,3242,15690,21051,16826
2015-06-27,10012,11773,26987,97426,28491,20052,32013,3242,15745,20931,16826
2015-06-28,10012,11773,26987,97574,28542,19894,32013,3242,15861,20782,16784
2015-06-29,10014,11757,26977,97611,28528,19333,32013,3242,15597,20227,16659
2015-06-30,10015,11758,26930,97731,28495,19287,32013,3242,15718,19745,16654
2015-07-01,9989,11728,26936,97679,28507,18977,31888,3220,16151,19422,16580
2015-07-02,10003,11744,26950,97778,28570,18943,31911,3241,18407,19222,16622
2015-07-03,9976,11760,26930,97815,28623,18632,32055,3245,19222,19028,16622
2015-07-04,9982,11751,26930,97852,28648,18542,32055,3245,19690,18940,16580
2015-07-05,9982,11753,26930,97806,28769,18357,32055,3255,20241,18833,16603
2015-07-06,9971,11716,26892,97722,29306,18117,32265,3255,21181,18139,16543
2015-07-07,9954,11699,26866,97806,29537,18001,32265,3255,22755,18019,16599
2015-07-08,9957,11688,26861,97843,29759,18021,32265,3255,24194,18148,16645
2015-07-09,9960,11644,26881,97907,30273,18051,32265,3255,25606,18144,16676
2015-07-10,9960,11652,26881,97944,30597,17895,32265,3255,26958,18236,16731
2015-07-11,9960,11634,26881,98046,30833,17914,32265,3255,27690,18296,16694
2015-07-12,9960,11648,26866,98556,31083,17954,32265,3255,28912,18324,16745
2015-07-13,9951,11586,26876,99157,31597,17838,32569,3255,33692,18537,16802
2015-07-14,9953,11558,26801,99852,31674,17917,32755,3255,35226,18582,16852
2015-07-15,9946,11538,26801,100981,32007,17916,32755,3255,36813,18760,16911
2015-07-16,9933,11533,26807,102726,32318,18028,32774,3281,37662,18904,16998
2015-07-17,9953,11504,26787,103151,32491,18005,33059,3294,40629,18951,17055
2015-07-18,9953,11518,26797,102396,32420,18052,33060,3294,41648,18866,17050
2015-07-19,9939,11525,26828,102604,32514,18080,32627,3266,43290,18866,16994
2015-07-20,9961,11511,26819,102769,32582,18034,32616,3305,45558,18979,17027
2015-07-21,9951,11525,26859,102029,32621,17982,32634,3308,40250,18911,17013
2015-07-22,9926,11520,26846,101610,32671,17947,32589,3283,37822,18900,16984
2015-07-23,9939,11550,26855,101439,32944,17826,32574,3299,36009,18799,16933
2015-07-24,9945,11539,26875,101112,33103,17870,32599,3299,35722,18757,17017
2015-07-25,9956,11509,26873,101255,33132,17812,32835,3292,37957,18679,16951
2015-07-26,9930,11495,26868,101179,33047,17756,32835,3292,40119,18519,16951
2015-07-27,9933,11467,26797,100594,32646,17671,32835,3292,42089,17849,16814
2015-07-28,9933,11459,26797,100642,32599,17595,32835,3297,42851,17792,16805
2015-07-29,9941,11469,26819,100280,32439,17605,32824,3299,45778,17584,16755
2015-07-30,9947,11484,26814,100093,32495,17579,32824,3299,46730,17084,16769
2015-07-31,9947,11469,26814,99841,32659,17588,32843,3299,46655,16902,16671
2015-08-01,9918,11469,26814,100000,32822,17612,33259,3299,47565,16841,17972
2015-08-02,9923,11463,26812,99830,32934,17655,33313,3292,47972,16802,17991
2015-08-03,9927,11444,26801,99713,33264,18006,33311,3300,49787,15912,17884
2015-08-04,9928,11430,26811,99704,33398,18133,33311,3300,50421,15616,17805
2015-08-05,9946,11410,26816,99750,33440,18248,33311,3300,52583,15144,17789
2015-08-06,9949,11342,26796,99731,33699,18554,33311,3301,54639,14831,17803
2015-08-07,9948,11289,26796,99769,33662,18957,33311,3297,56741,14498,17817
2015-08-08,9953,11292,26796,99778,33671,19161,33311,3297,58051,14197,17854
2015-08-09,9972,11285,26806,99898,33778,19271,33311,3297,58264,14031,17807
2015-08-10,10011,11240,26756,100509,33541,19604,33249,3298,59729,13376,17748
2015-08-11,10013,11256,26776,100986,33579,19651,33663,3297,59972,13032,17731
2015-08-12,10014,11251,26776,100921,33569,19841,33663,3297,59699,12796,17736
2015-08-13,10028,11263,26776,100921,33574,19823,33663,3297,59523,12880,17713
2015-08-14,10021,11266,26769,100907,33565,19961,33703,3293,58911,12901,17745
2015-08-15,10021,11262,26769,101014,33556,19991,33607,3290,58033,12850,17724
2015-08-16,10023,11252,26769,101220,33537,20000,33607,3290,58042,12790,17757
2015-08-17,10044,11245,26740,101403,33389,20062,33655,3297,57616,12634,17750
2015-08-18,10058,11240,26712,101252,33084,20009,33655,3300,57374,12500,17603
2015-08-19,10071,11236,26765,101079,33065,19979,33655,3297,58333,12486,17681
2015-08-20,10091,11217,26765,100829,32722,20032,33655,3297,58537,12551,17764
2015-08-21,10103,11212,26765,100736,32671,20050,33655,3297,58352,12468,17736
2015-08-22,10094,11187,26765,100764,32806,20078,33655,3297,58440,12505,17671
2015-08-23,10095,11179,26755,100360,32369,20069,33700,3314,58327,12528,17729
2015-08-24,10084,11160,26746,100176,32302,19987,33655,3301,58917,12407,17699
2015-08-25,10097,11139,26796,100046,32293,19978,33630,3301,58852,12190,17769
2015-08-26,10118,11123,26765,100009,32381,20088,33630,3297,59269,11889,17708
2015-08-27,10134,11066,26783,100019,32188,20131,33583,3290,59804,12210,17741
2015-08-28,10146,11044,26758,100107,32141,20117,33583,3290,60229,12220,17752
2015-08-29,10136,11035,26753,100005,32104,20047,33611,3290,60449,12168,17729
2015-08-30,10149,11035,26753,100098,31973,19995,33591,3290,60827,12178,17776
2015-08-31,10184,11024,26768,100045,31727,19944,33639,3297,60738,12287,17880
2015-09-01,10185,11037,26773,100036,31458,19968,33659,3297,60590,12347,18605
2015-09-02,10188,10995,26772,99915,31231,19901,33653,3297,61025,12463,18748
2015-09-03,10201,10955,26749,99900,31201,19861,33605,3290,60904,12402,18896
2015-09-04,10211,10939,26729,99868,30895,19771,33598,3295,60521,12453,18826
2015-09-05,10216,10920,26734,99784,30703,19650,33598,3281,60185,12477,18833
2015-09-06,10222,10906,26739,99812,30145,19579,33598,3281,59572,12547,20607
2015-09-07,10239,10863,26667,99880,29486,19326,33640,3288,57907,12764,18902
2015-09-08,10229,10871,26657,99889,29356,19216,33627,3283,56408,12880,18927
2015-09-09,10226,10855,26654,99916,29168,19087,33685,3286,54473,13019,18964
2015-09-10,10201,10855,26603,99682,28918,19000,33579,3271,51786,12991,19107
2015-09-11,10201,10852,26628,99692,28706,18914,33579,3271,51051,13280,19196
2015-09-12,10215,10855,26628,99654,28463,18875,33679,3271,49332,13322,19224
2015-09-13,10213,10865,26632,99750,28319,18777,33726,3325,48125,13356,19213
2015-09-14,10230,10867,26629,99472,27759,18691,33707,3328,43264,13662,19120
2015-09-15,10230,10852,26619,99324,27694,18571,33707,3328,40977,13704,19120
2015-09-16,10243,10842,26609,99287,27454,18488,33707,3328,39481,13838,19162
2015-09-17,10288,10815,26609,99093,27218,18372,33707,3328,38088,13616,19157
2015-09-18,10282,10808,26619,99537,27160,18318,33707,3328,37468,13799,19193
2015-09-19,10288,10810,26615,99393,27105,18307,33660,3322,36276,13858,19251
2015-09-20,10288,10812,26615,99374,27084,18238,33660,3292,35696,13975,19237
2015-09-21,10320,10798,26630,98935,26764,18199,33707,3298,31981,14154,19315
2015-09-22,10320,10791,26540,98981,26463,18162,33707,3298,30537,14191,19306
2015-09-23,10310,10791,26645,99704,26750,18185,33707,3298,30731,14103,19190
2015-09-24,10314,10796,26656,99875,26885,18231,33767,3317,30462,14174,19139
2015-09-25,10310,10800,26657,99579,27014,18159,33660,3301,29981,14064,19173
2015-09-26,10310,10804,26646,99654,26925,18153,33660,3301,29341,14014,19163
2015-09-27,10309,10804,26646,99505,27220,18134,33660,3301,28346,14061,19177
2015-09-28,10325,10787,26630,99657,27185,18037,33707,3307,25699,14009,19064
2015-09-29,10295,10762,26633,99591,27429,18024,33770,3271,23434,14139,19182
2015-09-30,10309,10761,26603,99380,27519,18030,33660,3301,22827,14193,19275
2015-10-01,10324,10770,26608,99421,27542,18034,33660,3301,22000,14407,19291
2015-10-02,10324,10771,26600,99393,27355,17958,33596,3301,19776,14509,19134
