96603,96695,96658,96751,96575,96671,96561,96543
96695,96658,96751,96575,96671,96561,96543,96473
96658,96751,96575,96671,96561,96543,96473,96450
96751,96575,96671,96561,96543,96473,96450,96357
96575,96671,96561,96543,96473,96450,96357,96641
96671,96561,96543,96473,96450,96357,96641,96613
96561,96543,96473,96450,96357,96641,96613,96679
96543,96473,96450,96357,96641,96613,96679,96619
96473,96450,96357,96641,96613,96679,96619,96557
96450,96357,96641,96613,96679,96619,96557,96557
96357,96641,96613,96679,96619,96557,96557,96520
96641,96613,96679,96619,96557,96557,96520,96563
96613,96679,96619,96557,96557,96520,96563,96378
96679,96619,96557,96557,96520,96563,96378,96378
96619,96557,96557,96520,96563,96378,96378,96627
96557,96557,96520,96563,96378,96378,96627,96618
96557,96520,96563,96378,96378,96627,96618,96642
96520,96563,96378,96378,96627,96618,96642,96571
96563,96378,96378,96627,96618,96642,96571,96524
96378,96378,96627,96618,96642,96571,96524,96468
96378,96627,96618,96642,96571,96524,96468,96459
96627,96618,96642,96571,96524,96468,96459,96375
96618,96642,96571,96524,96468,96459,96375,96443
96642,96571,96524,96468,96459,96375,96443,96506
96571,96524,96468,96459,96375,96443,96506,96443
96524,96468,96459,96375,96443,96506,96443,96443
96468,96459,96375,96443,96506,96443,96443,96080
96459,96375,96443,96506,96443,96443,96080,96089
96375,96443,96506,96443,96443,96080,96089,96179
96443,96506,96443,96443,96080,96089,96179,95992
96506,96443,96443,96080,96089,96179,95992,96010
96443,96443,96080,96089,96179,95992,96010,96010
96443,96080,96089,96179,95992,96010,96010,96135
96080,96089,96179,95992,96010,96010,96135,96088
96089,96179,95992,96010,96010,96135,96088,96010
96179,95992,96010,96010,96135,96088,96010,96158
95992,96010,96010,96135,96088,96010,96158,96220
96010,96010,96135,96088,96010,96158,96220,96239
96010,96135,96088,96010,96158,96220,96239,96156
96135,96088,96010,96158,96220,96239,96156,96200
96088,96010,96158,96220,96239,96156,96200,96245
96010,96158,96220,96239,96156,96200,96245,96338
96158,96220,96239,96156,96200,96245,96338,96339
96220,96239,96156,96200,96245,96338,96339,96228
96239,96156,96200,96245,96338,96339,96228,96251
96156,96200,96245,96338,96339,96228,96251,96146
96200,96245,96338,96339,96228,96251,96146,96115
96245,96338,96339,96228,96251,96146,96115,96125
96338,96339,96228,96251,96146,96115,96125,96069
96339,96228,96251,96146,96115,96125,96069,96227
96228,96251,96146,96115,96125,96069,96227,96168
96251,96146,96115,96125,96069,96227,96168,96343
96146,96115,96125,96069,96227,96168,96343,96130
96115,96125,96069,96227,96168,96343,96130,96379
96125,96069,96227,96168,96343,96130,96379,96379
96069,96227,96168,96343,96130,96379,96379,96361
96227,96168,96343,96130,96379,96379,96361,96347
96168,96343,96130,96379,96379,96361,96347,96394
96343,96130,96379,96379,96361,96347,96394,96347
96130,96379,96379,96361,96347,96394,96347,96301
96379,96379,96361,96347,96394,96347,96301,96174
96379,96361,96347,96394,96347,96301,96174,96174
96361,96347,96394,96347,96301,96174,96174,96137
96347,96394,96347,96301,96174,96174,96137,96072
96394,96347,96301,96174,96174,96137,96072,96093
96347,96301,96174,96174,96137,96072,96093,96093
96301,96174,96174,96137,96072,96093,96093,96093
96174,96174,96137,96072,96093,96093,96093,96276
96174,96137,96072,96093,96093,96093,96276,96255
96137,96072,96093,96093,96093,96276,96255,96276
96072,96093,96093,96093,96276,96255,96276,96350
96093,96093,96093,96276,96255,96276,96350,96569
96093,96093,96276,96255,96276,96350,96569,96542
96093,96276,96255,96276,96350,96569,96542,96542
96276,96255,96276,96350,96569,96542,96542,96542
96255,96276,96350,96569,96542,96542,96542,96361
96276,96350,96569,96542,96542,96542,96361,96315
96350,96569,96542,96542,96542,96361,96315,96324
96569,96542,96542,96542,96361,96315,96324,96352
96542,96542,96542,96361,96315,96324,96352,96352
96542,96542,96361,96315,96324,96352,96352,96333
96542,96361,96315,96324,96352,96352,96333,96417
96361,96315,96324,96352,96352,96333,96417,96417
96315,96324,96352,96352,96333,96417,96417,96324
96324,96352,96352,96333,96417,96417,96324,96208
96352,96352,96333,96417,96417,96324,96208,96220
96352,96333,96417,96417,96324,96208,96220,96182
96333,96417,96417,96324,96208,96220,96182,96356
96417,96417,96324,96208,96220,96182,96356,96102
96417,96324,96208,96220,96182,96356,96102,96102
96324,96208,96220,96182,96356,96102,96102,96074
96208,96220,96182,96356,96102,96102,96074,96164
96220,96182,96356,96102,96102,96074,96164,96106
96182,96356,96102,96102,96074,96164,96106,96116
96356,96102,96102,96074,96164,96106,96116,96069
96102,96102,96074,96164,96106,96116,96069,96000
96102,96074,96164,96106,96116,96069,96000,96046
96074,96164,96106,96116,96069,96000,96046,96056
96164,96106,96116,96069,96000,96046,96056,96103
96106,96116,96069,96000,96046,96056,96103,96083
96116,96069,96000,96046,96056,96103,96083,96000
96069,96000,96046,96056,96103,96083,96000,95995
96000,96046,96056,96103,96083,96000,95995,95856
96046,96056,96103,96083,96000,95995,95856,95856
96056,96103,96083,96000,95995,95856,95856,95861
96103,96083,96000,95995,95856,95856,95861,95954
96083,96000,95995,95856,95856,95861,95954,95963
96000,95995,95856,95856,95861,95954,95963,96023
95995,95856,95856,95861,95954,95963,96023,96046
95856,95856,95861,95954,95963,96023,96046,96102
95856,95861,95954,95963,96023,96046,96102,96037
95861,95954,95963,96023,96046,96102,96037,95898
95954,95963,96023,96046,96102,96037,95898,96151
95963,96023,96046,96102,96037,95898,96151,96102
96023,96046,96102,96037,95898,96151,96102,96157
96046,96102,96037,95898,96151,96102,96157,96185
96102,96037,95898,96151,96102,96157,96185,96037
96037,95898,96151,96102,96157,96185,96037,96037
95898,96151,96102,96157,96185,96037,96037,96009
96151,96102,96157,96185,96037,96037,96009,95991
96102,96157,96185,96037,96037,96009,95991,96009
96157,96185,96037,96037,96009,95991,96009,96065
96185,96037,96037,96009,95991,96009,96065,96028
96037,96037,96009,95991,96009,96065,96028,96014
96037,96009,95991,96009,96065,96028,96014,96014
96009,95991,96009,96065,96028,96014,96014,96250
95991,96009,96065,96028,96014,96014,96250,96171
96009,96065,96028,96014,96014,96250,96171,96176
96065,96028,96014,96014,96250,96171,96176,96176
96028,96014,96014,96250,96171,96176,96176,96206
96014,96014,96250,96171,96176,96176,96206,96144
96014,96250,96171,96176,96176,96206,96144,96144
96250,96171,96176,96176,96206,96144,96144,96193
96171,96176,96176,96206,96144,96144,96193,96185
96176,96176,96206,96144,96144,96193,96185,96102
96176,96206,96144,96144,96193,96185,96102,96130
96206,96144,96144,96193,96185,96102,96130,96120
96144,96144,96193,96185,96102,96130,96120,96241
96144,96193,96185,96102,96130,96120,96241,96250
96193,96185,96102,96130,96120,96241,96250,96269
96185,96102,96130,96120,96241,96250,96269,96282
96102,96130,96120,96241,96250,96269,96282,96282
96130,96120,96241,96250,96269,96282,96282,96282
96120,96241,96250,96269,96282,96282,96282,96614
96241,96250,96269,96282,96282,96282,96614,96523
96250,96269,96282,96282,96282,96614,96523,96560
96269,96282,96282,96282,96614,96523,96560,96931
96282,96282,96282,96614,96523,96560,96931,96931
96282,96282,96614,96523,96560,96931,96931,96847
96282,96614,96523,96560,96931,96931,96847,96893
96614,96523,96560,96931,96931,96847,96893,96864
96523,96560,96931,96931,96847,96893,96864,96810
96560,96931,96931,96847,96893,96864,96810,96836
96931,96931,96847,96893,96864,96810,96836,96841
