10431,10432,10430,10430
10384,10384,10385,10385
10457,10456,10451,10446
10329,10329,10329,10329
10810,10810,10810,10810
10462,10463,10464,10464
10916,10913,10913,10909
10341,10341,10341,10340
10917,10917,10917,10917
10890,10890,10890,10890
10420,10420,10419,10421
10472,10476,10474,10470
10458,10459,10459,10459
10428,10429,10428,10428
10855,10855,10855,10855
10855,10855,10855,10855
10904,10904,10904,10904
10499,10499,10499,10499
10422,10422,10420,10420
10802,10802,10802,10802
10855,10855,10855,10855
10499,10499,10499,10499
10384,10384,10384,10405
10335,10335,10335,10335
10338,10339,10338,10337
10831,10831,10831,10831
10545,10546,10545,10543
10427,10427,10427,10427
10732,10732,10753,10753
10499,10499,10499,10499
10499,10499,10499,10499
10811,10802,10810,10810
10499,10499,10499,10499
10337,10336,10336,10336
10421,10423,10423,10421
10446,10448,10449,10447
10499,10499,10499,10499
10831,10831,10831,10831
10414,10413,10414,10405
10466,10465,10461,10461
10756,10754,10753,10758
10670,10668,10669,10669
10437,10438,10436,10436
10499,10499,10499,10499
10874,10874,10874,10874
10435,10434,10432,10434
10658,10658,10658,10658
10441,10444,10443,10442
10426,10426,10426,10428
10708,10677,10675,10665
10713,10713,10712,10712
10335,10360,10360,10360
10365,10372,10370,10371
10576,10576,10576,10578
10855,10855,10855,10855
10499,10499,10499,10499
10601,10603,10602,10600
10433,10432,10432,10434
10806,10806,10806,10806
10499,10499,10499,10499
10835,10835,10835,10842
10499,10499,10499,10499
10413,10414,10405,10412
10428,10427,10428,10427
10868,10868,10868,10868
10346,10346,10345,10345
10869,10869,10878,10878
10810,10810,10810,10810
10346,10346,10347,10347
10329,10329,10329,10329
10499,10499,10499,10499
10342,10342,10342,10342
10831,10831,10831,10831
10426,10426,10426,10427
10405,10405,10405,10405
10432,10431,10429,10430
10887,10887,10887,10887
10352,10352,10352,10352
10802,10802,10802,10802
10384,10384,10382,10382
10855,10855,10855,10855
10499,10462,10462,10462
10867,10867,10867,10867
10757,10779,10779,10732
10348,10348,10349,10350
10598,10601,10601,10597
10499,10499,10499,10499
10855,10805,10805,10805
10336,10335,10335,10335
10589,10588,10588,10584
10335,10335,10335,10335
10460,10461,10460,10462
10334,10334,10334,10335
10443,10442,10441,10440
10609,10608,10605,10605
10419,10418,10418,10423
10408,10408,10408,10408
10337,10337,10337,10337
10438,10436,10437,10438
10342,10342,10343,10342
10448,10450,10450,10449
10436,10436,10435,10435
10499,10499,10499,10499
10539,10536,10536,10538
10656,10655,10654,10655
10347,10347,10347,10348
10630,10627,10627,10626
10335,10335,10335,10335
10462,10462,10432,10432
10709,10710,10711,10710
10855,10855,10855,10855
10494,10493,10493,10493
10401,10401,10401,10401
10443,10445,10443,10446
10499,10499,10499,10499
10831,10831,10831,10831
10782,10804,10804,10782
10334,10334,10334,10334
10805,10805,10757,10757
10335,10335,10335,10335
10436,10436,10436,10434
10831,10831,10831,10831
10384,10382,10382,10382
10917,10917,10917,10917
10917,10917,10917,10917
10764,10764,10764,10764
10855,10855,10855,10855
10855,10855,10855,10855
10694,10694,10726,10726
10602,10602,10602,10646
10499,10499,10499,10499
10347,10346,10346,10347
10499,10499,10499,10499
10399,10399,10398,10398
10335,10335,10335,10335
10917,10917,10917,10917
10351,10351,10351,10351
10622,10633,10634,10637
10445,10447,10447,10446
10723,10723,10720,10721
10335,10335,10335,10335
10810,10810,10810,10810
10347,10347,10347,10346
10810,10810,10810,10810
10681,10678,10678,10677
10436,10439,10439,10439
